ID;Titre;Prix;Nb. D'etudiant(e)s;Nb. d'evaluations;Evaluation;Niveaux d'experience2;Duree;Date et l'heure de publication 
19653;Accounting Skills for Managers;20;78;3;7.4;Junior;330;2012-06-27 12:41
20185;The Complete Forex Trader;25;1634;142;6.8;Tous;270;2012-10-01 05:46
24815;Harnessing the Power of Growth Stocks;50;29;2;6;Intermediaire;1170;2012-10-30 21:05
24877;Introductory Financial Accounting;80;1793;265;5.9;Intermediaire;90;2012-10-02 23:20
25794;How To Crowdfund;30;43;6;8.1;Tous;330;2012-10-02 18:00
28172;Practical Trading on Financial Futures & Options Markets;50;43;20;4.5;Intermediaire;270;2012-11-12 10:01
32908;Finance and Accounting for Startups;50;1175;92;7.1;Junior;330;2013-01-14 21:01
35131;Introduction to Small Business Accounting Training Tutorial;25;168;9;6.1;Junior;37;2013-01-08 21:57
35409;Profits Turbo;20;33;20;8.4;Junior;690;2013-06-03 11:35
38456;Essential Options: Strategies for Mastering the Stock Market;50;211;9;6.1;Tous;420;2013-03-06 00:28
40039;Comprehensive Forex Mastery Program;45;650;107;7.3;Junior;240;2013-02-07 14:50
40670;Professional Trader's Mindset - Complete Forex Course;50;4702;17;6.8;Tous;1890;2013-06-07 13:07
41145;Learn Call Options and Put Options - Introduction to Options;60;1017;74;6.7;Tous;210;2013-02-15 15:43
41961;Options Foundation - Time Decay, Implied Volatility, Greeks;60;459;25;5.2;Tous;420;2013-02-16 20:48
41973;Silver, Gold, and Inflation;0;5597;76;7;Tous;1230;2013-02-16 11:08
42040;Buying Call and Put Options - Options beginner strategies;60;266;20;8;Junior;120;2013-02-18 05:54
42146;Advanced Finance and Accounting for Startups;40;188;7;6.9;Junior;38;2014-02-27 12:58
42197;Options Spreads Bundle-  the heart of Options Trading;120;623;43;7.4;Junior;120;2013-02-19 10:04
42491;CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ;60;607;55;5.5;Tous;60;2013-03-05 06:31
42634;Advanced Options Concepts - Probability, Greeks, Simulation;60;968;81;6.3;Junior;90;2013-02-27 08:05
42640;Technical Analysis - A practical approach for trade entry;60;454;52;7.3;Intermediaire;360;2013-02-23 23:47
42642;The Basics Of Volume Analysis;60;611;57;5.8;Tous;60;2013-02-24 08:23
42643;Master Iron Condors - Double the credit for half the risk;60;1338;139;7.1;Tous;210;2013-03-02 08:27
42645;Backspreads, Diagonals and Butterflies - Advanced Strategies;60;737;41;7.9;Tous;300;2013-03-03 17:15
42651;Straddles and Strangles - Volatility moves in any direction;60;775;54;7.4;Intermediaire;600;2013-03-12 08:30
43319;Options Trading Basics (3-Course Bundle);180;10100;985;6.4;Junior;120;2013-02-25 06:36
43441;"Master 'Technical Analysis and Chart reading skills Bundle""";120;3348;352;7.8;Tous;510;2013-02-25 16:38
43778;Buying, Selling, and Storing Precious Metal;20;74;1;8.9;Intermediaire;360;2013-02-26 22:38
44319;Master Calendar Spreads with this live trade on Gold (GLD);60;540;44;6.1;Junior;44;2013-03-02 09:03
44836;Option Spreads and Credit Spreads Bundle;180;2212;194;6.4;Tous;120;2013-03-05 13:27
45136;Weekly Options and study of Options expiration dynamics;60;779;56;5.9;Tous;270;2013-03-08 07:22
