ID;Titre;Prix;Nb. D'etudiant(e)s;Nb. d'evaluations;Evaluation;Niveaux d'experience2;Duree;Date et l'heure de publication 
1230950;The Fast Route to a Faster Financial Close;50;56;56;6.3;Tous;330;2017-06-23 18:05
533458;How to Obtain a Business Loan;20;1;1;7.6;Tous;960;2015-11-17 14:17
1250742;Complete GST Course For Small and Medium Enterprises;75;59;56;7.5;Intermediaire;150;2017-06-14 12:32
811534;The Visual Learning Basic Accounting Course;20;59;56;6.9;Tous;120;2016-05-03 17:14
1232382;Intro to Financial Statement Audits;50;60;56;6.7;Senior;180;2017-06-29 14:09
1233894;The Latest Updates 2016 Financial Accounting Standards Board;50;60;56;5.8;Junior;240;2017-06-29 17:40
1249164;Corporate Internal Controls and Fraud Controls;50;60;56;7.6;Junior;240;2017-06-29 13:27
46933;Business Accounts For Managers;30;33;30;6.2;Intermediaire;240;2013-04-23 09:07
282044;Introduction to the 8 Pillars for Accountants;20;33;30;7;Tous;38;2014-08-16 13:37
1240408;Forex Trading for Beginners Vol 1:A Forex Course Made Simple;175;62;56;6.9;Tous;90;2017-07-04 18:23
1165780;Ratio analysis for bankers and credit analysts;20;50;45;6.4;Tous;510;2017-04-12 12:55
1208148;Coaching Course:Investment Analysis for your clients;200;50;45;6;Tous;210;2017-06-23 12:35
1259396;Test your knowledge in Financial Management;30;20;18;7.6;Intermediaire;60;2017-06-21 01:05
1237912;Create Trading Robot Without Coding Skills!;145;63;56;6.7;Tous;660;2017-06-16 01:29
1276364;Bitcoin & Ethereum Course (2 Course Bundle);200;22;18;6.5;Tous;90;2017-07-05 15:06
1273896;Covered Calls - Powerful Income Strategy for Stock Traders;60;22;18;7.2;Tous;1530;2017-07-03 11:13
1156530;How to trade in the Forex market;200;59;45;7.1;Tous;120;2017-03-29 12:19
1264512;Trading Forex  - L'analyse des volumes;70;4;3;7;Junior;300;2017-06-29 17:32
1153854;Working Capital assessment for bankers, credit analysts;20;63;45;6.8;Tous;780;2017-04-06 19:30
1089610;3 Little Pigs: A Multiple Timeframe Forex Trading Strategy;20;33;22;7.3;Junior;870;2017-02-24 11:33
390510;Tax made simple for Limited Company Owners and Contractors;50;48;30;6.7;Junior;390;2015-02-18 06:50
101038;Bitesize Bookkeeping for busy people;20;33;20;6.8;Tous;90;2015-03-29 14:18
35409;Profits Turbo;20;33;20;8.4;Junior;690;2013-06-03 11:35
118836;FX Trading for Beginners;20;33;20;6.3;Tous;35;2013-11-30 23:10
591724;Financial Market Environment & Investment Strategies;105;50;30;7;Tous;390;2017-06-19 22:29
759262;Decide whether to Invest in a Business ;20;50;30;7.2;Junior;150;2016-02-15 12:33
782256;FMT: Forex Market Trader Certificate;20;50;30;5.9;Junior;240;2016-03-17 13:43
1069866;High-Frequency Trading & Dark Pools;40;19;11;7.6;Junior;90;2017-04-18 17:43
811416;Learn Financial Modeling from Scratch - Part1;50;7;4;7.5;Junior;270;2016-04-06 14:00
